datetime,temperature_100m,windspeed_100m,pressure_100m,precipitationrate_0m
2007-01-04 12:00:00,283.41776,2.1546097,98495.13,0.0
2007-01-04 13:00:00,282.6182,1.3092422,98483.234,0.0
2007-01-04 14:00:00,283.13394,0.71108246,98464.0,0.0
2007-01-04 15:00:00,284.0556,0.56459045,98457.59,0.0
2007-01-04 16:00:00,285.01694,1.0986633,98394.42,0.0
2007-01-04 17:00:00,286.0332,1.5747528,98336.74,0.0
2007-01-04 18:00:00,286.5673,1.0498352,98281.81,0.0
2007-01-04 19:00:00,287.53473,1.4862518,98229.625,0.0
2007-01-04 20:00:00,288.0047,2.0630493,98193.0,0.0
2007-01-04 21:00:00,288.04742,2.0447388,98140.81,0.0
2007-01-04 22:00:00,287.6629,3.463852,98132.57,0.36621094
2007-01-04 23:00:00,287.04337,4.4434967,98116.09,2.1973267
2007-01-05 00:00:00,287.0861,0.0,98075.81,0.36621094
2007-01-05 01:00:00,287.00674,0.0,98058.414,1.0986938
2007-01-05 02:00:00,288.12067,0.0,98021.79,0.36621094
2007-01-05 03:00:00,287.846,0.0,97975.09,0.0
2007-01-05 04:00:00,287.80634,0.0,97912.84,0.0
2007-01-05 05:00:00,287.75446,0.0,97817.625,1.8311157
2007-01-05 06:00:00,288.28546,0.0,97759.94,1.0986938
2007-01-05 07:00:00,288.2,0.0,97741.63,0.7324219
2007-01-05 08:00:00,288.70663,0.0,97712.33,1.0986938
2007-01-05 09:00:00,288.65475,0.0,97674.8,0.7324219
2007-01-05 10:00:00,288.78903,0.0,97667.47,0.0
2007-01-05 11:00:00,288.76767,0.0,97646.414,0.36621094
2007-01-05 12:00:00,288.6639,0.0,97616.2,0.7324219
2007-01-05 13:00:00,288.83176,0.0,97624.44,1.8311157
2007-01-05 14:00:00,288.94467,0.0,97607.05,1.4649048
2007-01-05 15:00:00,289.4055,0.0,97561.266,0.36621094
2007-01-05 16:00:00,289.8694,0.0,97512.74,1.4649048
2007-01-05 17:00:00,290.8185,0.0,97429.42,0.0
2007-01-05 18:00:00,292.5886,0.0,97412.03,0.0
2007-01-05 19:00:00,293.0555,0.0,97351.6,0.0
2007-01-05 20:00:00,293.26608,0.0,97335.125,0.0
2007-01-05 21:00:00,291.2061,0.0,97306.74,3.2960205
2007-01-05 22:00:00,290.13184,0.0,97307.66,24.903076
2007-01-05 23:00:00,289.82056,0.0,97286.6,5.859558
2007-01-06 00:00:00,289.9121,10.596024,97304.0,38.45331
2007-01-06 01:00:00,289.94568,9.332558,97271.95,7.324463
2007-01-06 02:00:00,290.04944,10.113831,97285.69,2.9297485
2007-01-06 03:00:00,289.85413,11.529892,97280.19,11.352905
2007-01-06 04:00:00,289.27426,8.957184,97241.734,16.11377
2007-01-06 05:00:00,289.4452,9.451584,97217.016,0.36621094
2007-01-06 06:00:00,289.03012,11.72216,97217.94,0.0
2007-01-06 07:00:00,288.1573,11.468857,97224.34,0.0
2007-01-06 08:00:00,287.69037,12.070068,97238.99,0.0
2007-01-06 09:00:00,286.96097,12.00293,97272.87,0.0
2007-01-06 10:00:00,286.30786,11.606186,97324.14,0.0
2007-01-06 11:00:00,285.09933,7.901245,97422.1,0.0
2007-01-06 12:00:00,284.95285,9.3600235,97474.29,0.0
2007-01-06 13:00:00,284.61105,9.906311,97510.91,0.0
2007-01-06 14:00:00,283.9732,7.409897,97588.734,0.0
2007-01-06 15:00:00,285.0139,5.0691223,97625.36,0.0
2007-01-06 16:00:00,286.40857,4.321419,97654.66,0.0
2007-01-06 17:00:00,287.61407,5.04776,97653.734,0.0
2007-01-06 18:00:00,288.6578,4.9134827,97647.33,0.0
2007-01-06 19:00:00,289.64355,4.763939,97661.98,0.0
2007-01-06 20:00:00,289.76562,5.157631,97664.73,0.0
2007-01-06 21:00:00,289.77783,4.5106354,97695.85,0.0
2007-01-06 22:00:00,289.6283,4.9501038,97748.95,0.0
2007-01-06 23:00:00,289.5398,6.262398,97818.54,0.0
2007-01-07 00:00:00,289.7473,5.7466354,97871.64,0.0
2007-01-07 01:00:00,289.51538,4.2237625,97939.39,0.0
2007-01-07 02:00:00,288.48993,4.7059555,98001.65,0.0
2007-01-07 03:00:00,288.0993,3.8636398,98023.625,0.0
